-,-,-
-883, -1, 698
-933, 128, 887
-933, 128, 887
-796, 259, 911
-771, 364, 798
-772, 472, 584
-903, 669, 635
-948, 958, 999
-886, 814, 1216
-857, 564, 1108
-674, 501, 976
-674, 501, 976
-584, 358, 995
-376, 163, 818
-310, -38, 614
-531, -332, 692
-518, -535, 557
-233, -634, 440
-290, -816, 491
-306, -902, 481
-306, -902, 481
-495, -1114, 394
-331, -1072, 498
-377, -1128, 606
-394, -1194, 876
-,-,-
-823, 496, 670
-664, 905, 614
-764, 922, 428
-1416, 629, 495
-1146, 689, 918
-559, 543, 1293
-596, 242, 1137
-596, 242, 1137
-483, 74, 859
-371, -250, 648
-415, -496, 538
-174, -764, 580
-70, -1005, 434
-286, -1373, 465
-270, -1280, 908
-433, -1312, 907
-,-,-
-1280, 976, 583
-1225, 814, 744
-923, 1104, 815
-661, 853, 859
-1005, 544, 1039
-480, 369, 678
-480, 369, 678
-392, -41, 595
-115, -373, 598
81, -584, 416
195, -714, 371
176, -1069, 474
-,-,-
-517, 947, 726
-668, 759, 707
-751, 439, 1035
-652, 35, 916
-652, 35, 916
-468, -275, 508
-213, -456, 297
151, -750, 28
187, -1032, -98
-298, -1542, -56
-198, -1621, 546
-,-,-
-783, 669, 481
-633, 1091, 629
-1214, 1181, 401
-1098, 1183, 401
-468, 1456, 981
-715, 1337, 1146
-797, 1301, 1126
-689, 1225, 843
-531, 881, 874
-217, 238, 577
33, -437, 347
-209, -1247, 87
-209, -1247, 394
-419, -1724, 394
-,-,-
-870, 1443, 1034
-915, 1625, 976
-1015, 1546, 942
-1284, 1285, 842
-921, 1227, 968
-318, 865, 568
-75, 238, 254
-15, -500, 202
78, -1168, -62
78, -1168, -62
349, -1564, -59
309, -1791, 115
-,-,-
-1131, 977, 714
-1014, 1281, 803
-796, 1415, 640
-796, 1415, 640
-863, 1271, 875
-725, 1123, 683
-465, 920, 567
-395, 348, 624
-95, -101, 570
109, -862, 160
-17, -1839, 225
-93, -1998, 594
-93, -1998, 938
-93, -1998, 1045
-,-,-
-889, 948, 504
-618, 1123, 723
-701, 1403, 873
-871, 1403, 996
-677, 1184, 1126
-443, 829, 896
-273, 475, 682
-249, 153, 421
-249, 153, 421
-314, -619, 9
-332, -1307, -62
-238, -1860, -70
-116, -1998, 162
-111, -1998, 812
-304, -1839, 1348
-,-,-
-962, 1203, 667
-590, 1433, 558
-662, 1565, 370
-986, 1262, 690
-742, 939, 735
-364, 578, 835
-167, 181, 681
-109, -260, 335
133, -661, 330
415, -1281, 552
415, -1281, 552
-,-,-
-169, 894, 927
-326, 832, 809
-613, 395, 478
-613, 395, 478
-383, -451, 111
114, -962, -48
-225, -1315, 678
-312, -1338, 1309
-251, -1454, 1337
-290, -1534, 956
-359, -1271, 591
-,-,-
-856, 1431, 845
-979, 1277, 797
-755, 1164, 763
-755, 1164, 763
-498, 994, 583
-423, 839, 348
-478, 577, 465
-472, 122, 400
-227, -315, 372
-26, -906, 470
-148, -1510, 631
-93, -1537, 1065
-75, -1339, 1477
-218, -1380, 1397
-366, -1454, 970
-432, -1324, 885
-,-,-
-1080, 1514, 851
-815, 1465, 379
-624, 1110, 327
-894, 472, 192
-472, 581, 558
-175, 361, 752
-14, 36, 729
-96, -503, 618
-96, -503, 618
-234, -884, 704
-14, -991, 770
-,-,-
-1188, 640, 556
-751, 848, 581
-488, 1040, 502
-743, 1155, 998
-1012, 1074, 1120
-858, 1066, 887
-514, 904, 629
-292, 561, 561
-284, 189, 531
-316, -175, 552
-233, -527, 376
-233, -527, 376
45, -1137, 130
-150, -1886, 178
-487, -1993, 1223
-216, -1427, 1597
-592, -1787, 1396
-462, -1228, 1340
-417, -993, 1087
-494, -917, 711
-,-,-
-946, 858, 794
-929, 1050, 835
-621, 1209, 835
-975, 1209, 922
-892, 1438, 958
-677, 1293, 798
-577, 981, 630
-415, 636, 531
-349, 256, 697
-367, -227, 317
-72, -676, -34
-72, -676, -34
148, -1352, -316
-232, -1987, 516
-612, -1998, 1140
-,-,-
-1149, 1245, 616
-926, 1579, 435
-900, 1980, 639
-1246, 1997, 1049
-921, 1778, 1141
-401, 1193, 1046
-115, 552, 947
81, -152, 702
164, -1180, 231
134, -1986, -23
148, -1998, 434
-,-,-
-1231, 1668, 991
-890, 1931, 1094
-883, 1997, 848
-842, 1925, 716
-830, 1463, 926
-276, 1035, 916
-276, 1035, 916
191, 111, 660
497, -868, 45
657, -1805, 241
-55, -1998, 820
-70, -1998, 1875
95, -1998, 1991
-,-,-
-819, 1873, 855
-804, 1997, 786
-1237, 1938, 783
-1411, 1797, 963
-829, 1685, 1206
-482, 1137, 829
-165, 551, 492
24, -270, 374
225, -1412, 662
374, -1998, 817
374, -1998, 817
3, -1998, 1298
-,-,-
-991, 1996, 638
-954, 1953, 310
-1063, 1040, 356
-698, 254, 13
-374, -267, 545
-73, -933, 837
-73, -933, 837
-11, -1270, 1286
-129, -1013, 1814
-444, -979, 1623
-576, -1080, 1329
-526, -1229, 663
-,-,-
-1083, 1126, 973
-1212, 1635, 927
-778, 1883, 347
-1176, 1384, 342
-1168, 1001, 373
-481, 972, 828
-138, 507, 1119
33, -261, 829
155, -850, 463
327, -1261, 264
327, -1261, 264
169, -1671, 324
-261, -1989, 483
-,-,-
-988, 1369, 632
-1429, 1707, 436
-1238, 1947, 358
-1029, 1733, 325
-934, 1373, 540
-934, 1373, 540
-304, 1150, 848
-40, 559, 940
-100, -59, 1049
235, -486, 1070
347, -1331, 183
76, -1970, -243
-332, -1998, 496
-492, -1998, 1024
-,-,-
-803, 1974, 1145
-671, 1996, -37
-947, 1573, -95
-1112, 779, -109
-473, 533, 161
-93, 417, 888
-400, -496, 1618
-341, -1323, 1980
1378, -103, 710
-153, -1733, -534
-1069, -1998, 788
-537, -1998, 808
-233, -1874, 758
-,-,-
-914, 1115, 865
-945, 1497, 814
-1186, 1789, 684
-1124, 1996, 562
-952, 1713, 552
-619, 1309, 589
-140, 870, 726
-108, 185, 713
9, -438, 583
9, -438, 583
207, -1142, 390
210, -1780, 356
-133, -1998, 767
-238, -1998, 1082
-430, -1934, 1140
-582, -1694, 1040
-,-,-
-1191, 1422, 776
-1075, 1918, 770
-1093, 1997, 472
-1136, 1855, 433
-795, 1224, 352
-220, 1003, 873
-83, 343, 909
-83, 343, 909
-18, -450, 794
178, -1042, 766
212, -1725, 547
-265, -1998, 518
-,-,-
-839, 924, 512
-980, 1145, 550
-1032, 1340, 861
-884, 1630, 809
-748, 1714, 858
-809, 1178, 602
-630, 693, 572
-395, 213, 527
-395, 213, 527
-171, -416, 540
185, -1074, 495
-2, -1897, 454
-479, -1998, 967
-295, -1998, 1580
-269, -1998, 1532
-345, -1774, 1223
-,-,-
-934, 1360, 1307
