-,-,-
-142, -782, 654
-142, -782, 654
-64, -769, 748
16, -694, 789
91, -601, 736
94, -530, 629
86, -430, 603
86, -430, 603
126, -298, 588
128, -152, 614
128, 23, 581
46, 207, 559
-312, 444, 501
-312, 444, 501
-658, 621, 391
-783, 658, 453
-887, 703, 669
-1116, 831, 758
-1372, 695, 813
-1491, 683, 1051
-1507, 659, 791
-1295, 680, 809
-1254, 490, 886
-1235, 356, 968
-1235, 356, 968
-1219, 273, 936
-1184, 159, 775
-868, 75, 760
-818, -148, 1037
-774, -387, 1226
-674, -551, 1286
-451, -619, 1276
-181, -711, 1009
222, -774, 781
260, -770, 769
